sentence_id	token_id	token	surprisal
7	31	Bradford	14.7625
7	32	had	4.72692
7	33	second	9.35076
7	34	thoughts	2.76443
7	35	about	1.98219
7	36	visiting	9.75793
7	37	the	1.81429
7	38	well	10.0358
7	39	.	1.56611
8	1	That	4.85344
8	2	the	6.29913
8	3	people	7.29048
8	4	of	3.17458
8	5	Bradford	13.6182
8	6	bore	11.5717
8	7	the	1.86911
8	8	brunt	7.15321
8	9	of	0.0740537
8	10	the	0.917867
8	11	beast	11.0194
8	12	's	1.66567
8	13	ferocity	12.2471
8	14	was	3.31237
8	15	unfair	8.85836
8	16	in	2.74873
8	17	the	1.0436
8	18	eyes	6.27364
8	19	of	0.32145
8	20	the	1.56968
8	21	people	5.27351
8	22	of	1.91242
8	23	the	1.27793
8	24	region	6.96573
8	25	.	0.498034
9	1	Eventually	8.52068
9	2	,	0.152472
9	3	the	1.87987
9	4	issue	6.22676
9	5	reached	7.8391
9	6	the	2.21513
9	7	ears	13.8512
9	8	of	1.60638
9	9	the	0.887046
9	10	kindly	14.914
9	11	Lord	11.6251
9	12	of	6.58838
9	13	the	1.84576
9	14	Manor	11.33
9	15	who	9.45807
9	16	the	6.72573
9	17	people	7.5436
9	18	had	3.30777
9	19	often	7.33865
9	20	asked	5.87922
9	21	for	1.3797
9	22	help	6.8935
9	23	.	0.819495
10	1	The	1.78328
10	2	Lord	11.6194
10	3	saw	9.72743
10	4	the	1.73541
10	5	severity	8.44845
10	6	of	0.129412
10	7	the	0.951262
10	8	problem	4.93798
10	9	the	6.23511
10	10	people	6.27388
10	11	faced	6.41675
10	12	and	3.78286
10	13	suggested	5.29122
10	14	a	3.92067
10	15	contest	8.8067
10	16	could	4.87565
10	17	solve	6.75925
10	18	the	0.751253
10	19	problem	3.52288
10	20	.	0.892785
11	1	He	3.7457
11	2	said	1.89598
11	3	that	2.7131
11	4	whoever	12.8971
11	5	could	3.794
11	6	kill	8.55156
11	7	the	1.51819
11	8	boar	15.0487
11	9	and	4.07952
11	10	bring	14.0572
11	11	as	4.89299
11	12	proof	6.53436
11	13	its	10.9551
11	14	head	5.983
11	15	to	5.08429
11	16	the	3.04875
11	17	Manor	13.4227
11	18	House	9.14459
11	19	would	2.8032
11	20	be	1.62989
11	21	rewarded	8.98112
11	22	with	2.76085
11	23	land	10.1653
11	24	and	2.76589
11	25	fame	9.94829
11	26	.	2.09677
12	1	It	4.03517
12	2	was	2.4868
12	3	the	2.29767
12	4	people	9.81971
12	5	of	2.1808
12	6	Bradford	13.2323
12	7	and	3.57564
12	8	the	3.68774
12	9	people	5.15357
12	10	who	0.991591
12	11	knew	5.02558
12	12	them	3.91142
12	13	who	6.39915
12	14	rejoiced	13.0634
12	15	at	5.87655
12	16	this	3.46418
12	17	proclamation	13.6921
12	18	but	8.63773
12	19	one	5.90924
12	20	question	6.81986
12	21	remained	14.8776
12	22	:	5.7376
12	23	who	10.1727
12	24	would	4.01863
12	25	kill	6.79358
12	26	the	2.21561
12	27	boar	14.239
12	28	?	1.85392
12	29	By	15.2173
12	30	the	2.70452
12	31	handsome	9.5431
12	32	reward	11.1343
12	33	many	10.3999
12	34	felt	8.09348
12	35	tempted	11.8535
12	36	,	5.16315
12	37	but	3.69983
12	38	the	3.83102
12	39	thought	6.89995
12	40	of	0.713588
12	41	the	1.97424
12	42	boar	13.6073
12	43	with	5.28091
12	44	its	5.09311
12	45	deadly	10.6199
12	46	tusks	14.1299
12	47	and	3.19503
12	48	face	7.3022
12	49	like	6.57475
12	50	thunder	12.355
12	51	soon	13.5705
12	52	put	11.318
12	53	an	6.5197
12	54	end	5.37304
12	55	to	0.475254
12	56	their	4.35047
12	57	ambitions	8.75562
12	58	.	8.74982
13	1	However	5.40744
13	2	,	0.0120621
13	3	there	4.57776
13	4	was	2.20816
13	5	one	5.53128
13	6	UNK-LC	7.68012
13	7	,	2.8417
13	8	who	4.5791
13	9	was	2.51193
13	10	still	5.07751
13	11	wet	10.9844
13	12	behind	7.51137
13	13	the	1.30727
13	14	ears	9.19369
13	15	,	1.81575
13	16	who	4.11097
13	17	decided	6.55012
13	18	the	4.73655
13	19	prize	9.16714
13	20	was	1.86743
13	21	worth	5.34846
13	22	a	2.45575
13	23	shot	6.46935
13	24	,	3.6453
13	25	in	4.36027
13	26	spite	5.75772
13	27	of	0.0331934
13	28	the	1.32585
13	29	boar	13.769
13	30	's	3.30647
13	31	reputation	6.86338
13	32	.	8.8671
14	1	The	1.78328
14	2	UNK-LC	7.97135
14	3	discovered	10.9578
14	4	the	3.43606
14	5	boar	13.7244
14	6	preferred	11.7327
14	7	to	3.93533
14	8	come	6.13395
14	9	out	3.25111
14	10	in	3.20561
14	11	the	1.34444
14	12	middle	4.50524
14	13	of	0.532257
14	14	the	0.98277
14	15	day	4.33722
14	16	.	0.644416
15	1	So	5.81635
15	2	he	3.46388
15	3	went	5.54121
15	4	to	1.39418
15	5	the	1.55854
15	6	wood	12.2188
15	7	by	5.58436
15	8	the	3.69947
15	9	well	7.56186
15	10	with	4.95455
15	11	his	2.83399
15	12	good	6.79934
15	13	bow	10.5235
15	14	,	2.57715
15	15	to	5.51146
15	16	bide	11.4814
15	17	his	2.48744
15	18	time	5.82853
15	19	.	1.59628
16	1	Around	10.1131
16	2	UNK-LC	9.76321
16	3	,	0.63951
16	4	the	1.93876
16	5	boar	13.425
16	6	,	4.27033
16	7	feared	12.0642
16	8	by	1.87721
16	9	the	1.59536
16	10	locals	9.00363
16	11	,	0.341074
16	12	came	5.4312
16	13	out	3.65624
16	14	,	3.927
16	15	as	2.91368
16	16	slow	11.821
16	17	as	3.46498
16	18	a	3.14431
16	19	snail	12.3958
16	20	,	2.48273
16	21	from	5.23651
16	22	among	8.45989
16	23	the	1.83693
16	24	trees	9.1738
16	25	,	3.53315
16	26	just	5.73284
16	27	as	0.929714
16	28	the	1.90366
16	29	UNK-LC	5.23461
16	30	had	4.96796
16	31	predicted	8.98142
16	32	.	1.24935
17	1	The	1.78328
17	2	UNK-LC	7.97135
17	3	leaped	12.5768
17	4	from	2.75632
17	5	his	4.35263
17	6	hiding	11.1401
17	7	place	6.3643
17	8	and	3.35304
17	9	through	7.04327
17	10	the	1.69638
17	11	heart	6.79999
17	12	with	6.48578
17	13	his	3.04963
17	14	fine	10.3529
17	15	arrows	11.3425
17	16	shot	11.6444
17	17	the	5.15888
17	18	boar	14.0723
17	19	.	1.70338
18	1	Now	6.10551
18	2	the	2.85999
18	3	problem	5.86466
18	4	was	2.84337
18	5	no	5.90796
18	6	longer	2.2669
18	7	to	3.61982
18	8	kill	7.55905
18	9	the	1.61324
18	10	boar	14.1309
18	11	.	1.43761
19	1	It	4.03517
19	2	was	2.4868
19	3	to	4.88188
19	4	find	5.11224
19	5	a	1.57655
19	6	way	3.94751
19	7	to	0.225322
19	8	carry	6.76521
19	9	the	2.34336
19	10	boar	14.1777
19	11	back	5.90706
19	12	.	1.50518
20	1	The	1.78328
20	2	head	8.12433
20	3	was	4.64271
20	4	too	6.97582
20	5	heavy	6.47434
20	6	for	3.00809
20	7	the	1.70329
20	8	little	8.57736
20	9	UNK-LC	6.61319
20	10	to	3.01359
20	11	carry	6.54688
20	12	back	5.26626
20	13	to	2.17761
20	14	the	1.3203
20	15	Manor	13.349
20	16	House	9.39008
20	17	,	2.06241
20	18	but	6.83927
20	19	the	3.92389
20	20	UNK-LC	6.3482
20	21	,	3.84553
20	22	who	5.49155
20	23	was	2.57676
20	24	as	5.71993
20	25	UNK-LC-DASH	5.15537
20	26	and	3.56319
20	27	cunning	7.85356
20	28	as	0.203209
20	29	ever	7.37038
20	30	,	1.14576
20	31	asked	7.23053
20	32	himself	7.43438
20	33	,	4.0719
20	34	UNK-CAPS	8.62845
20	35	else	11.941
20	36	can	12.8895
20	37	I	7.60864
20	38	do	5.42419
20	39	to	3.82959
20	40	prove	7.10944
20	41	I	4.24863
20	42	killed	9.8507
20	43	the	2.15444
20	44	boar	14.2879
20	45	?	9.33938
20	46	'	4.35344
20	47	The	6.21497
20	48	next	6.35003
20	49	instance	8.71421
20	50	he	6.68213
20	51	opened	8.08841
20	52	the	3.45167
20	53	boar	14.7958
20	54	's	7.57582
20	55	mouth	11.2442
20	56	and	4.44238
20	57	cut	11.5321
20	58	out	3.64302
20	59	its	5.15623
20	60	tongue	7.12778
20	61	,	3.40362
20	62	taking	6.14298
20	63	that	5.00599
20	64	as	6.49505
20	65	proof	6.61131
20	66	for	5.1167
20	67	the	1.97533
20	68	Lord	11.8489
20	69	.	2.04899
21	1	He	3.7457
21	2	set	7.82214
21	3	out	4.47805
21	4	for	3.83577
21	5	the	1.86736
21	6	Manor	14.3885
21	7	House	10.1643
21	8	as	5.29773
21	9	quickly	7.58133
21	10	as	0.032001
21	11	he	1.35481
21	12	could	4.04978
21	13	and	7.27951
21	14	he	3.92115
21	15	had	3.20007
21	16	only	5.67884
21	17	been	2.70005
21	18	gone	7.83063
21	19	a	5.8185
21	20	few	3.44484
21	21	minutes	3.56479
21	22	when	5.45814
21	23	a	3.67141
21	24	second	5.72061
21	25	UNK-LC	6.92966
21	26	,	3.33591
21	27	not	5.82718
21	28	so	5.70654
21	29	bold	7.40022
21	30	as	3.11232
21	31	the	2.33536
21	32	first	4.48997
21	33	but	10.5661
21	34	a	1.5476
21	35	little	5.88222
21	36	more	3.79246
